stage,model,mae,mae_std,mae_min,mae_max,rmse,rmse_std,r2,r2_std,train_mae,mae_gap,fit_seconds,predict_seconds,feature_count,overfitting,mae_gain_vs_previous
1. context,1. context,0.2677139345346646,0.0009521696982069397,0.26668962885778613,0.26914552008455284,0.30738992762679385,0.0010359715426932735,-0.00021300788760467704,0.001588748994186998,0.2666848315899986,0.0010291029446659605,10.189832747986657,0.0214176680019591,4,faible écart,
2. + mobility,2. + mobility,0.09841424954374653,0.000535473671220654,0.09789514853210707,0.09932185580149934,0.13496524292866766,0.001693726033834111,0.8071435656619276,0.0052611081266730865,0.09307936458570193,0.0053348849580446,13.977397666996694,0.032212081976467744,7,écart modéré,0.16929968499091805
3. + combat,3. + combat,0.09551480663589706,0.000437509575670023,0.09523637228501221,0.09628120079385837,0.1319207088688617,0.001525764157981873,0.8157478625660517,0.00479132430665614,0.08875299629663307,0.006761810339263999,14.693378626005142,0.044762915989849716,11,écart modéré,0.0028994429078494643
4. + resources,4. + resources,0.09266107151522353,0.0006652461343228286,0.09206013968749975,0.09375486809954858,0.12924235879340756,0.0018009098433172015,0.823143708043547,0.0054160773670958945,0.08518292151161094,0.007478150003612585,14.837723917022231,0.030359041018527932,15,écart modéré,0.0028537351206735367
5. + killRank post-match,5. + killRank post-match,0.061500497443357005,0.0011256412985729044,0.0607682250827998,0.06336947492235288,0.08660888212173051,0.001917478253490387,0.920562470353145,0.003628666805269467,0.05525797626406036,0.006242521179296648,15.383805042991298,0.03569558201706968,16,écart modéré,0.031160574071866523
