reference_model,candidate_model,folds,mean_mae_difference,ci95_lower,ci95_upper,candidate_worse_folds
CatBoost,XGBoost,5,0.001999906118436298,0.0018288976641322758,0.002191832016207526,5
CatBoost,LightGBM,5,0.002144266304766068,0.0019197829820961326,0.0023687496274360036,5
CatBoost,Random Forest,5,0.005228623406397526,0.004917262706318262,0.0055127245890724845,5
CatBoost,Linear Ridge baseline,5,0.026861579122167578,0.026300729484898144,0.02750550994669811,5
CatBoost,Median baseline,5,0.20642902906994726,0.20521589118500105,0.20740248474091919,5
CatBoost,Mean baseline,5,0.20670299592749944,0.20535963027276272,0.20770805409856785,5
