rank,model,mae,mae_std,mae_min,mae_max,rmse,rmse_std,r2,r2_std,train_mae,mae_gap,fit_seconds,predict_seconds,feature_count,overfitting
1,CatBoost,0.06144842296514428,0.0010947266193982509,0.06076614657329897,0.06334133120636623,0.08646012888185033,0.001894963939501526,0.9208345857345321,0.003616262294087546,0.05526865290359887,0.006179770061545409,14.675676542014116,0.03225129100610502,16,écart modéré
2,XGBoost,0.06344832908358058,0.001072654678876742,0.06261743034513181,0.06530823344570179,0.08960168014606662,0.001737487274724027,0.9149890162503549,0.003287852582769384,0.05043952210842824,0.013008806975152346,1.3010366670059739,0.03779449900321197,16,écart élevé
3,LightGBM,0.06359268926991035,0.0009118311452355272,0.063063042855187,0.06521616036909766,0.08908664472676811,0.001426627533973034,0.9159700337159979,0.002740826075799859,0.059487959860285856,0.0041047294096244955,3.3952800420229323,0.08796083500783425,16,écart modéré
4,Random Forest,0.0666770463715418,0.0007705916028202346,0.06605369039346905,0.06801164145681758,0.09434260683981896,0.0014602411728745972,0.9057638042529259,0.00295400070662694,0.024722052951010282,0.04195499342053152,24.541610957996454,0.3189729590085335,16,écart élevé
5,Linear Ridge baseline,0.08831000208731186,0.00139541286808376,0.0866794498244211,0.09008171417504056,0.12224805257695821,0.001964619486464989,0.8417748554734279,0.004875607602250033,0.0882559062530667,5.4095834245163066e-05,0.05875020701205358,0.00781120898318477,16,faible écart
6,Median baseline,0.2678774520350916,0.0008219222147869752,0.2671883628208323,0.2691005607476636,0.3078078659204083,0.0010053862593856358,-0.0029350446773498628,0.0014205968989888464,0.2678617612856854,1.5690749406216398e-05,0.0,0.0,16,non applicable
7,Mean baseline,0.2681514188926437,0.0007923668574462628,0.26743212628625523,0.2692495774486774,0.3073743182286724,0.0009195237780924033,-0.00011234717124017913,0.00014208153492554877,0.26814318167373513,8.23721890857998e-06,0.0,0.0,16,non applicable
