n_splits,catboost_mae,xgboost_mae,xgboost_minus_catboost_mae,catboost_winning_folds,mean_validation_rows,min_validation_rows,max_validation_rows,total_candidate_fit_seconds,max_shared_games,fit_cost_relative_to_5_folds
3,0.061563961256681475,0.06374782413940576,0.002183862882724275,3,13376.0,13376,13376,8.654795831971569,0,0.5342881254963529
5,0.06144842296514428,0.06344832908358058,0.001999906118436298,5,8025.6,8025,8026,16.198742623993894,0,1.0
7,0.06125963529447049,0.06348754022491397,0.0022279049304434703,7,5732.571428571428,5732,5733,25.557584583046264,0,1.5777511363869607
10,0.061368067626198786,0.06331794887575241,0.001949881249553638,10,4012.8,4012,4013,34.70165024999005,0,2.14224344787041
