trial,random_strength,learning_rate,l2_leaf_reg,iterations,depth,border_count,mae,mae_std,train_mae,fit_seconds,predict_seconds,mae_gap
1,2.0,0.05,10.0,1200,6,254,0.06167102172163117,0.0010928864459933553,0.05741699529302239,9.873878002166748,0.018842363357543947,0.0042540264286087814
2,1.0,0.08,10.0,1200,4,64,0.06244386945482132,0.0010966560220426348,0.05916965048720011,5.6930207252502445,0.015415000915527343,0.0032742189676212077
3,0.5,0.03,5.0,800,8,64,0.06252160391860359,0.0009397129752270941,0.05868130318780682,7.244572639465332,0.013725185394287109,0.003840300730796768
4,1.0,0.08,3.0,800,4,254,0.06267927017571596,0.0010886408336492248,0.05975414844822423,3.712593603134155,0.00961160659790039,0.0029251217274917363
5,0.5,0.05,10.0,1200,4,64,0.06308548972825383,0.001089099833559593,0.0608359964255894,9.49191918373108,0.018789005279541016,0.0022494933026644265
6,2.0,0.08,10.0,800,4,64,0.06315127066764628,0.0010826819877510253,0.06076838684411413,4.3284636497497555,0.009698867797851562,0.0023828838235321476
7,0.5,0.05,1.0,400,6,128,0.06365025281320287,0.000975820046803598,0.06130399180899073,3.472603988647461,0.01138291358947754,0.00234626100421214
8,2.0,0.03,5.0,400,4,64,0.07093729325297962,0.0010878378067354817,0.07036811360678723,1.9070286750793457,0.006369161605834961,0.0005691796461923943
