n_splits,model,mae,mae_std,mae_standard_error,weighted_oof_mae,mae_min,mae_max,rmse,r2,train_mae,mae_gap,mean_train_rows,mean_validation_rows,min_validation_rows,max_validation_rows,max_shared_games,fit_seconds,predict_seconds,fits
3,CatBoost,0.061563961256681475,0.000697793487740846,0.0004028712579859453,0.061563961256681475,0.061124676162926085,0.06236857150039103,0.08631582265622544,0.9211159836478003,0.05470656239600693,0.006857398860674546,26752.0,13376.0,13376,13376,0,7.836912957995082,0.025449041975662112,3
3,XGBoost,0.06374782413940576,0.0006073194565820433,0.00035063605174173994,0.06374782413940575,0.06336143974212066,0.06444783706127702,0.08936021508823129,0.9154628493952305,0.0490369908066142,0.014710833332791558,26752.0,13376.0,13376,13376,0,0.8178828739764867,0.028745876013999805,3
5,CatBoost,0.06144842296514428,0.0010947266193982509,0.0004895766275506057,0.061448439827195916,0.06076614657329897,0.06334133120636623,0.08646012888185033,0.9208345857345321,0.05526865290359887,0.006179770061545409,32102.4,8025.6,8025,8026,0,14.700684123992687,0.03357658399909269,5
5,XGBoost,0.06344832908358058,0.001072654678876742,0.00047970575567032056,0.06344834062378824,0.06261743034513181,0.06530823344570179,0.08960168014606662,0.9149890162503549,0.05043952210842824,0.013008806975152346,32102.4,8025.6,8025,8026,0,1.498058500001207,0.04567220799799543,5
7,CatBoost,0.06125963529447049,0.0008734972239557535,0.0003301509179274593,0.061259627310514285,0.060415466803027236,0.06271412339962382,0.08609326855721552,0.9215095315505382,0.05543801475139111,0.00582162054307938,34395.42857142857,5732.571428571428,5732,5733,0,23.60862312503741,0.10028333400259726,7
7,XGBoost,0.06348754022491397,0.0009937516147161647,0.00037560280535826375,0.06348753533943284,0.06235913989677837,0.06507999079371393,0.08941767532897073,0.915322233977861,0.051028139283010886,0.012459400941903086,34395.42857142857,5732.571428571428,5732,5733,0,1.9489614580088528,0.04430521003087051,7
10,CatBoost,0.061368067626198786,0.0013544710662566981,0.0004283213594168001,0.06136809411182906,0.06003803361980983,0.06480610295289015,0.08635480896973728,0.92096445607957,0.055591569424409425,0.005776498201789361,36115.2,4012.8,4012,4013,0,31.357713460020022,0.04280308504530694,10
10,XGBoost,0.06331794887575241,0.0014432004995628665,0.0004563800698911497,0.06331796110166237,0.06183246538292223,0.06700453330409553,0.08923297390648469,0.9156260012868943,0.05128486609184234,0.012033082783910076,36115.2,4012.8,4012,4013,0,3.34393678997003,0.06708287500077859,10
