rank,model,mae,mae_std,rmse,r2,train_mae,fit_seconds,predict_seconds,feature_count,overfitting
1,XGBoost,0.06156305273985344,0.000831782605152698,0.08666309777890102,0.9205293251052324,0.052627110908235575,5.179656958003761,0.09810424999886891,16,écart modéré
2,LightGBM,0.061725016335802796,0.0008650302504472387,0.08671402922831235,0.9204331111000077,0.055321868409083166,11.782331041984435,0.35004283300077077,16,écart modéré
3,CatBoost,0.0617746040539325,0.0008738667675398021,0.08667183694803621,0.9205140867467833,0.05886433362969238,9.469531999005994,0.025044085006811656,16,faible écart
4,Random Forest,0.06554954680139488,0.0008566668066876263,0.09263338662027201,0.9092047762778691,0.030339243931061168,26.727129998995224,1.2207484179889434,16,écart élevé
5,Median baseline,0.26798681599999996,0.0014889772946153285,0.30780620510795476,-0.0024368718837170177,0.267982937,0.0,0.0,16,non applicable
